Question,Area,SubArea,Burnout Risk,Authenticity Strain,Suppressed Influence,Internal Contradiction,Structural Misfit,Old Wounds New Systems,Emotional Containment,Values Misalignment,Reverse Logic,Individual,Team
I am financially dependent on my job.,Context,Economic,0,0.6,0,0,0,0,0,0.8,0,0,0
My financial planning extends long term (years rather than months).,Context,Economic,0,0.4,0,0,0,0,0,0,0,0,0
I would be significantly impacted by a 20–30% drop in income.,Context,Economic,0,0.2,0,0,0,0,0,0,0,0,0
I feel financially secure in my current role.,Context,Economic,0,0.6,0,0,0,0,0,0.6,0,0,0
My financial responsibilities outside of work influence how I show up professionally.,Context,Economic,0.4,0.8,0,0.8,0.4,0.8,0.8,0.6,0,0,0
I often make career decisions primarily based on financial considerations.,Context,Economic,0,0.8,0.2,0.4,0.4,0.6,0,0.8,0,0,0
I feel fully represented and included in the development of the company culture. ,Context,Political,0.8,1,0.8,1,0.8,0.6,0.4,0,1,0,1
Unspoken cultural dynamics in my company tend to be ignored and are difficult to address.,Context,Political,0.6,0.8,0.6,0.6,0.4,0.4,0,0,0,0,0
"I feel positive about conversations about transformation, race, or equity at work.",Context,Political,0,0.4,0.4,0,0,0.2,0.4,0.2,1,0,0
"I feel that my identity (race, culture, background) negatively influences how others perceive my competence or potential.",Context,Political,0.8,0.8,0.2,1,0.2,1,0,0.6,0,0,0
I often have to suppress aspects of who I am to be accepted in professional spaces.,Context,Political,0.8,1,0.2,1,0.4,0.8,0.4,0.4,0,1,0
I believe my organisation creates real opportunities for people from diverse backgrounds to lead and thrive.,Context,Political,0.2,1,0.6,0.8,0.8,0.8,0.2,0.6,0,0,0
In terms of my physical wellbeing I have a high level of energy and resilience.,Context,Health,1,0,0,0,0,0.6,0.8,0,1,0,0
My emotional state has been one of feeling tense and overwhelmed. ,Context,Health,1,0.6,0,0.6,0,0.6,1,0.2,1,0,0
My mental state has no affect on my professional role. ,Context,Health,1,0.8,0,0.8,0,1,0.8,0,1,0,0
I feel physically and mentally empowered by my company to meet the demands of my current role.,Context,Health,1,1,0.8,0.8,0.8,0.6,0.8,0.6,1,0,0
My work environment acknowledges or accommodates the natural fluctuations in people’s health or energy.,Context,Health,1,0.8,0.2,0.6,0,0.4,0.6,0.8,1,0,0
I regularly take steps to protect and maintain my physical and emotional wellbeing.,Context,Health,1,0.4,0,0,0,0.6,0.8,0,1,0,0
There is a good fit between my personality and my company. ,Context,Cultural,1,0.8,0.2,0.6, ,0.2,0.4,0.4,1,0,0
There are clear and balanced levels of decision-making and communication in my organisation.,Context,Cultural,0.2,0.4,1,1,0.6,0.4,0.4,0.2,1,0,0
The company’s unspoken value system around success is one of fitting in and conforming. ,Context,Cultural,0.8,1,0.8,0.8,0.4,0.6,0.6,0.4,1,0,0
I feel that I can express myself authentically in my company’s culture.,Context,Cultural,0.6,1,0.4,0.6,0.4,0.4,0.4,0,1,0,1
The way success is rewarded in my company aligns with how I define success personally.,Context,Cultural,0.6,1,0.4,0,0.4,0,0.4,1,1,0,0
The company’s pace and energy levels match my natural working rhythm.,Context,Cultural,1,0.8,0.4,0.4,0.4,0,0.6,0,1,0,0
There is a good balance between my responsibilities at work and with my family at home. ,Context,Family,1,0,0,0,0.8,0.6,0.8,0.8,1,0,0
My family life enables me to cope with the demands at work. ,Context,Family,1,0,0,0,0.4,0.6,0.8,0.4,1,0,0
"I feel that my family understands my work responsibilities, and that they provide the support I need.  ",Context,Family,1,0,0,0.6,0.4,0.4,0.8,0.4,1,0,0
My family life adds meaning and balance to my professional role.,Context,Family,0.6,0.4,0,0,0.6,0.4,0.8,0.6,1,0,0
The emotional climate at home allows me to recover from work stress.,Context,Family,1,0,0,0,0.8,0.4,0.8,0.8,1,0,0
I feel supported and understood by the people closest to me.,Context,Family,0.8,0.6,0,0,0.6,0.8,0.8,0.6,1,0,0
My work is highly visible to key decision-makers.,Position,Exposure,0.4,0.6,0.8,0,0.8,0,0,0.8,0,0,0
I feel very uncomfortable with exposure at work. ,Position,Exposure,0.4,0.8,0.2,0.8,0.8,0.4,0,0.2,0,0,0
I currently experience negative attention and scrutiny in my role. ,Position,Exposure,1,0.2,0,0,0,0.8,0.8,0,0,0,0
I feel comfortable being seen and evaluated by others in my organisation.,Position,Exposure,0.8,0.8,0,0.8,1,0.4,0,0.6,1,0,0
My current level of visibility aligns with my role and temperament.,Position,Exposure,0.6,1,0,1,1,0.4,0,0,1,0,0
I know how to manage visibility strategically without compromising authenticity.,Position,Exposure,0.8,1,0,0.6,0.6,0,0,0,1,0,0
My role is clearly defined within the company hierarchy.,Position,Hierarchy,0.6,1,1,0.6,1,0.4,0.4,0.2,1,0,0
I experience the power and authority in my current environment as oppressive and unbalanced.,Position,Hierarchy,0.8,0.8,0.8,0.6,0.8,0.4,0.8,1,0,0,0
"I have a strained relationship with leadership in general, and feel that those in power lack insight. ",Position,Hierarchy,0.2,0.6,0.8,0.4,1,0.4,0.8,0.8,0,1,0
I understand how decisions are made and who holds influence in the organisation.,Position,Hierarchy,0.4,0.6,0.8,0.4,1,0.4,0.8,0.8,1,0,1
I feel able to navigate organisational politics effectively when needed.,Position,Hierarchy,0.2,0.8,0.8,0,0.4,0.8,0.4,0.2,1,0,1
The power dynamics in the company feel are in line with the goals of the organisation. ,Position,Hierarchy,0.4,0.8,0.4,0.8,1,0.6,0.4,0.8,1,0,1
The interpersonal environment at work is supportive and energising.,Position,Relationships,0.8,0.6,0,0,0,0.6,0.6,0.6,1,0,1
I am usually an outsider or observer when it comes to group situations at work. ,Position,Relationships,0.4,0.4,1,0,0.8,0.6,0.6,0.8,0,1,0
I don’t feel emotioanlly safe with my colleagues. ,Position,Relationships,0.8,0.6,0,0,0,0.8,0.8,0.4,0,1,0
I feel respected in my working relationships.,Position,Relationships,0.8,1,1,1,1,0.8,0.8,0.8,1,0,1
I have at least one colleague I can confide in or lean on when needed.,Position,Relationships,0.6,0.2,0.4,0,0.8,0.6,1,0,1,0,1
The social dynamics in my team help me do better work.,Position,Relationships,0.8,0.6,0.6,0.6,1,0.4,0.4,0.2,1,0,0
My KPIs accurately reflect how I spend my time at work.,Position,KPIs,0.2,0.8,0.8,0.8,0.8,0.2,0.2,0.6,1,0,0
My company uses a fair and thorough process to evaluate the outcome and quality of my work. ,Position,KPIs,0.2,0.8,0.8,0.8,0.8,0.2,0.2,0.2,1,0,0
I find that KPI's are the best way to measure the outcome of my work. ,Position,KPIs,0.2,1,0.8,0.6,0.8,0.4,0.2,0.4,1,0,0
My KPIs accurately reflect what success means in my role.,Position,KPIs,0.2,1,0.8,0.8,0.8,0.6,0.2,0.2,1,0,0
The way performance is measured in this company motivates me.,Position,KPIs,0.8,0.8,0.8,0.8,0.8,0.4,0.2,0.2,1,0,0
