Question,Area,SubArea,Burnout Risk,Authenticity Strain,Suppressed Influence,Internal Contradiction,Structural Misfit,Old Wounds New Systems,Emotional Containment,Values Misalignment,Reverse Logic,Individual,Team
I depend on this job for my income.,Context,Economic,0,0.6,0,0,0,0,0,0.8,0,0,0
I plan my finances for the long term.,Context,Economic,0,0.4,0,0,0,0,0,0,0,0,0
A 20–30% reduction in my income would have a major impact on me.,Context,Economic,0,0.2,0,0,0,0,0,0,0,0,0
My current job makes me feel financially secure.,Context,Economic,0,0.6,0,0,0,0,0,0.6,0,0,0
Financial stress affects how I approach my work.,Context,Economic,0.4,0.8,0,0.8,0.4,0.8,0.8,0.6,0,0,0
Money is a major factor in my long term career decisions.,Context,Economic,0,0.8,0.2,0.4,0.4,0.6,0,0.8,0,0,0
I feel included in shaping my company’s identity,Context,Political,0.8,1,0.8,1,0.8,0.6,0.4,0,1,0,1
Cultural issues in my company are often ignored.,Context,Political,0.6,0.8,0.6,0.6,0.4,0.4,0,0,0,0,0
"I feel comfortable discussing transformation, race, or equity at work.",Context,Political,0,0.4,0.4,0,0,0.2,0.4,0.2,1,0,0
I feel that my race and gender affects how others judge my ability at work.,Context,Political,0.8,0.8,0.2,1,0.2,1,0,0.6,0,0,0
I hide parts of who I am to fit in at work.,Context,Political,0.8,1,0.2,1,0.4,0.8,0.4,0.4,0,1,0
People from different backgrounds have real opportunities to succeed in my organisation.,Context,Political,0.2,1,0.6,0.8,0.8,0.8,0.2,0.6,0,0,0
I generally have high levels of energy and resilience.,Context,Health,1,0,0,0,0,0.6,0.8,0,1,0,0
I often feel tense or overwhelmed.,Context,Health,1,0.6,0,0.6,0,0.6,1,0.2,1,0,0
My mental state does not affect my work performance.,Context,Health,1,0.8,0,0.8,0,1,0.8,0,1,0,0
My company supports me in meeting the demands of my role.,Context,Health,1,1,0.8,0.8,0.8,0.6,0.8,0.6,1,0,0
My workplace accommodates changes in people’s health and energy levels.,Context,Health,1,0.8,0.2,0.6,0,0.4,0.6,0.8,1,0,0
I take regular steps to maintain my physical and emotional wellbeing.,Context,Health,1,0.4,0,0,0,0.6,0.8,0,1,0,0
My personality is a good fit for my company.,Context,Cultural,1,0.8,0.2,0.6, ,0.2,0.4,0.4,1,0,0
Decision-making and communication are clear in my organisation.,Context,Cultural,0.2,0.4,1,1,0.6,0.4,0.4,0.2,1,0,0
Success in my company often depends on fitting in.,Context,Cultural,0.8,1,0.8,0.8,0.4,0.6,0.6,0.4,1,0,0
I can be myself within my company culture.,Context,Cultural,0.6,1,0.4,0.6,0.4,0.4,0.4,0,1,0,1
My company rewards success in ways that match my values.,Context,Cultural,0.6,1,0.4,0,0.4,0,0.4,1,1,0,0
My company’s pace suits the way I naturally work.,Context,Cultural,1,0.8,0.4,0.4,0.4,0,0.6,0,1,0,0
My work and family responsibilities are well balanced.,Context,Family,1,0,0,0,0.8,0.6,0.8,0.8,1,0,0
My family life helps me manage the demands of work.,Context,Family,1,0,0,0,0.4,0.6,0.8,0.4,1,0,0
My family understands my work responsibilities and supports me.,Context,Family,1,0,0,0.6,0.4,0.4,0.8,0.4,1,0,0
